geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Salt Lake City,driving,NA,Utah,United States,2020-12-22,136.08
city,Salt Lake City,driving,NA,Utah,United States,2020-12-23,148.7
city,Salt Lake City,driving,NA,Utah,United States,2020-12-24,97.51
city,Salt Lake City,driving,NA,Utah,United States,2020-12-25,44.85
city,Salt Lake City,driving,NA,Utah,United States,2020-12-26,97.42
city,Salt Lake City,driving,NA,Utah,United States,2020-12-27,73.63
city,Salt Lake City,driving,NA,Utah,United States,2020-12-28,111.94
city,Salt Lake City,driving,NA,Utah,United States,2020-12-29,118.9
city,Salt Lake City,driving,NA,Utah,United States,2020-12-30,123.87
city,Salt Lake City,driving,NA,Utah,United States,2020-12-31,121.15
city,Salt Lake City,driving,NA,Utah,United States,2021-01-01,87.79
city,Salt Lake City,driving,NA,Utah,United States,2021-01-02,114.27
city,Salt Lake City,driving,NA,Utah,United States,2021-01-03,72.44
city,Salt Lake City,driving,NA,Utah,United States,2021-01-04,110.48
city,Salt Lake City,driving,NA,Utah,United States,2021-01-05,113.01
city,Salt Lake City,driving,NA,Utah,United States,2021-01-06,110.55
city,Salt Lake City,driving,NA,Utah,United States,2021-01-07,113.69
city,Salt Lake City,driving,NA,Utah,United States,2021-01-08,131.09
city,Salt Lake City,driving,NA,Utah,United States,2021-01-09,127.82
city,Salt Lake City,driving,NA,Utah,United States,2021-01-10,76.2
city,Salt Lake City,driving,NA,Utah,United States,2021-01-11,106.4
city,Salt Lake City,driving,NA,Utah,United States,2021-01-12,108.74
city,Salt Lake City,driving,NA,Utah,United States,2021-01-13,109.75
city,Salt Lake City,driving,NA,Utah,United States,2021-01-14,116.48
city,Salt Lake City,driving,NA,Utah,United States,2021-01-15,135.25
city,Salt Lake City,driving,NA,Utah,United States,2021-01-16,129.12
city,Salt Lake City,driving,NA,Utah,United States,2021-01-17,79.37
city,Salt Lake City,driving,NA,Utah,United States,2021-01-18,114.33
city,Salt Lake City,driving,NA,Utah,United States,2021-01-19,110.25
city,Salt Lake City,driving,NA,Utah,United States,2021-01-20,107.63
city,Salt Lake City,driving,NA,Utah,United States,2021-01-21,113.83
city,Salt Lake City,driving,NA,Utah,United States,2021-01-22,130.65
city,Salt Lake City,driving,NA,Utah,United States,2021-01-23,121.82
city,Salt Lake City,driving,NA,Utah,United States,2021-01-24,73.73
city,Salt Lake City,driving,NA,Utah,United States,2021-01-25,107.66
city,Salt Lake City,driving,NA,Utah,United States,2021-01-26,106.55
city,Salt Lake City,driving,NA,Utah,United States,2021-01-27,108.58
city,Salt Lake City,driving,NA,Utah,United States,2021-01-28,114
city,Salt Lake City,driving,NA,Utah,United States,2021-01-29,131.91
city,Salt Lake City,driving,NA,Utah,United States,2021-01-30,134.39
city,Salt Lake City,driving,NA,Utah,United States,2021-01-31,80.23
city,Salt Lake City,driving,NA,Utah,United States,2021-02-01,108
city,Salt Lake City,driving,NA,Utah,United States,2021-02-02,109.5
city,Salt Lake City,driving,NA,Utah,United States,2021-02-03,106.51
city,Salt Lake City,driving,NA,Utah,United States,2021-02-04,115.02
city,Salt Lake City,driving,NA,Utah,United States,2021-02-05,130.16
city,Salt Lake City,driving,NA,Utah,United States,2021-02-06,139.18
city,Salt Lake City,driving,NA,Utah,United States,2021-02-07,79.96
city,Salt Lake City,driving,NA,Utah,United States,2021-02-08,110.49
city,Salt Lake City,driving,NA,Utah,United States,2021-02-09,111.04
city,Salt Lake City,driving,NA,Utah,United States,2021-02-10,115.56
city,Salt Lake City,driving,NA,Utah,United States,2021-02-11,122.73
city,Salt Lake City,driving,NA,Utah,United States,2021-02-12,139.55
city,Salt Lake City,driving,NA,Utah,United States,2021-02-13,132.91
city,Salt Lake City,driving,NA,Utah,United States,2021-02-14,87.25
city,Salt Lake City,driving,NA,Utah,United States,2021-02-15,98.97
city,Salt Lake City,driving,NA,Utah,United States,2021-02-16,107.81
city,Salt Lake City,driving,NA,Utah,United States,2021-02-17,105.91
city,Salt Lake City,driving,NA,Utah,United States,2021-02-18,118.85
city,Salt Lake City,driving,NA,Utah,United States,2021-02-19,135.74
city,Salt Lake City,driving,NA,Utah,United States,2021-02-20,133.49
city,Salt Lake City,driving,NA,Utah,United States,2021-02-21,82.1
